Seconds,SGEO X (km),SGEO Y (km),SGEO Z (km),SC1 RelX (km),SC1 RelY (km),SC1 RelZ (km),SC2 RelX (km),SC2 RelY (km),SC2 RelZ (km),SC3 RelX (km),SC3 RelY (km),SC3 RelZ (km),SC4 RelX (km),SC4 RelY (km),SC4 RelZ (km),SC5 RelX (km),SC5 RelY (km),SC5 RelZ (km)
0,43399,0,0,-1.1829,4.2856,1.7745,-0.75722,-6.0772,2.0682,0.88076,3.1514,-1.415,2.0251,0.8976,-2.0816,-3.4777,2.2074,-4.9134
30.002,43399,83.384,-36.256,-1.1879,4.2876,1.773,-0.75126,-6.0807,2.0559,0.87747,3.1444,-1.4265,2.0224,0.89588,-2.0749,-3.4822,2.215,-4.9142
60.005,43399,166.77,-72.512,-1.1929,4.2896,1.7714,-0.74531,-6.0843,2.0437,0.87419,3.1374,-1.438,2.0196,0.89416,-2.0682,-3.4867,2.2226,-4.9151
90.007,43398,250.15,-108.77,-1.1979,4.2916,1.7698,-0.73936,-6.0878,2.0315,0.87091,3.1303,-1.4494,2.0169,0.89244,-2.0615,-3.4912,2.2301,-4.9159
120.01,43397,333.53,-145.02,-1.2029,4.2936,1.7682,-0.73343,-6.0913,2.0193,0.86764,3.1233,-1.4609,2.0142,0.89071,-2.0547,-3.4958,2.2376,-4.9167
150.01,43397,416.91,-181.28,-1.2079,4.2955,1.7667,-0.7275,-6.0947,2.007,0.86438,3.1162,-1.4724,2.0115,0.88897,-2.048,-3.5004,2.2451,-4.9174
180.01,43396,500.29,-217.53,-1.213,4.2974,1.7651,-0.72157,-6.0981,1.9948,0.86113,3.1091,-1.4838,2.0088,0.88724,-2.0413,-3.505,2.2527,-4.9182
210.02,43394,583.66,-253.78,-1.218,4.2993,1.7635,-0.71566,-6.1015,1.9825,0.85788,3.102,-1.4953,2.0062,0.8855,-2.0345,-3.5097,2.2602,-4.9189
240.02,43393,667.04,-290.04,-1.2231,4.3012,1.7618,-0.70975,-6.1049,1.9703,0.85465,3.0949,-1.5067,2.0035,0.88375,-2.0277,-3.5144,2.2676,-4.9196
270.02,43391,750.41,-326.29,-1.2281,4.3031,1.7602,-0.70385,-6.1083,1.958,0.85142,3.0878,-1.5182,2.0009,0.882,-2.021,-3.5191,2.2751,-4.9203
300.02,43389,833.78,-362.54,-1.2332,4.3049,1.7586,-0.69795,-6.1116,1.9457,0.8482,3.0806,-1.5296,1.9983,0.88025,-2.0142,-3.5238,2.2826,-4.921
330.02,43387,917.14,-398.78,-1.2383,4.3068,1.757,-0.69207,-6.1149,1.9334,0.84499,3.0735,-1.541,1.9958,0.8785,-2.0074,-3.5286,2.29,-4.9216
360.03,43385,1000.5,-435.03,-1.2434,4.3086,1.7553,-0.68619,-6.1182,1.9211,0.84178,3.0663,-1.5524,1.9932,0.87674,-2.0006,-3.5334,2.2975,-4.9223
390.03,43383,1083.9,-471.27,-1.2485,4.3104,1.7537,-0.68032,-6.1214,1.9088,0.83859,3.0591,-1.5638,1.9906,0.87498,-1.9938,-3.5383,2.3049,-4.9229
420.03,43380,1167.2,-507.51,-1.2536,4.3121,1.752,-0.67446,-6.1246,1.8965,0.8354,3.0519,-1.5752,1.9881,0.87322,-1.987,-3.5431,2.3124,-4.9234
450.03,43378,1250.5,-543.75,-1.2588,4.3139,1.7504,-0.66861,-6.1278,1.8842,0.83223,3.0447,-1.5866,1.9856,0.87145,-1.9802,-3.548,2.3198,-4.924
480.04,43375,1333.9,-579.99,-1.2639,4.3156,1.7487,-0.66277,-6.131,1.8718,0.82906,3.0375,-1.598,1.9831,0.86968,-1.9734,-3.5529,2.3272,-4.9245
510.04,43371,1417.2,-616.23,-1.269,4.3173,1.747,-0.65693,-6.1341,1.8595,0.8259,3.0303,-1.6094,1.9806,0.86791,-1.9665,-3.5579,2.3346,-4.925
540.04,43368,1500.6,-652.46,-1.2742,4.319,1.7453,-0.6511,-6.1372,1.8472,0.82275,3.0231,-1.6208,1.9782,0.86613,-1.9597,-3.5629,2.3419,-4.9255
570.04,43365,1583.9,-688.69,-1.2794,4.3207,1.7436,-0.64529,-6.1403,1.8348,0.81961,3.0158,-1.6322,1.9758,0.86435,-1.9528,-3.5679,2.3493,-4.926
600.05,43361,1667.2,-724.91,-1.2845,4.3223,1.7419,-0.63948,-6.1433,1.8224,0.81647,3.0085,-1.6435,1.9733,0.86257,-1.946,-3.5729,2.3567,-4.9264
630.05,43357,1750.5,-761.14,-1.2897,4.324,1.7402,-0.63368,-6.1464,1.8101,0.81335,3.0013,-1.6549,1.9709,0.86079,-1.9391,-3.578,2.364,-4.9269
660.05,43353,1833.8,-797.35,-1.2949,4.3256,1.7385,-0.62789,-6.1494,1.7977,0.81023,2.994,-1.6662,1.9686,0.859,-1.9322,-3.5831,2.3713,-4.9273
690.05,43349,1917.1,-833.57,-1.3001,4.3272,1.7368,-0.62211,-6.1523,1.7853,0.80713,2.9867,-1.6776,1.9662,0.85721,-1.9253,-3.5882,2.3786,-4.9276
720.05,43344,2000.4,-869.78,-1.3053,4.3288,1.735,-0.61633,-6.1553,1.7729,0.80403,2.9793,-1.6889,1.9639,0.85542,-1.9184,-3.5934,2.3859,-4.928
750.06,43339,2083.6,-905.99,-1.3106,4.3303,1.7333,-0.61057,-6.1582,1.7605,0.80095,2.972,-1.7002,1.9615,0.85362,-1.9115,-3.5986,2.3932,-4.9283
780.06,43335,2166.9,-942.2,-1.3158,4.3318,1.7315,-0.60482,-6.1611,1.7481,0.79787,2.9647,-1.7115,1.9592,0.85182,-1.9046,-3.6038,2.4005,-4.9286
810.06,43330,2250.2,-978.4,-1.321,4.3334,1.7298,-0.59908,-6.164,1.7357,0.7948,2.9573,-1.7229,1.9569,0.85002,-1.8977,-3.6091,2.4078,-4.9289
840.06,43324,2333.4,-1014.6,-1.3263,4.3349,1.728,-0.59334,-6.1668,1.7232,0.79174,2.9499,-1.7342,1.9547,0.84822,-1.8908,-3.6143,2.415,-4.9292
870.07,43319,2416.6,-1050.8,-1.3315,4.3363,1.7263,-0.58762,-6.1696,1.7108,0.78869,2.9426,-1.7455,1.9524,0.84642,-1.8838,-3.6196,2.4223,-4.9294
900.07,43313,2499.9,-1087,-1.3368,4.3378,1.7245,-0.58191,-6.1724,1.6984,0.78565,2.9352,-1.7568,1.9502,0.84461,-1.8769,-3.625,2.4295,-4.9297
930.07,43307,2583.1,-1123.2,-1.3421,4.3392,1.7227,-0.57621,-6.1752,1.6859,0.78262,2.9278,-1.768,1.9479,0.8428,-1.87,-3.6303,2.4367,-4.9298
960.07,43302,2666.3,-1159.3,-1.3474,4.3406,1.7209,-0.57051,-6.1779,1.6735,0.7796,2.9203,-1.7793,1.9457,0.84099,-1.863,-3.6357,2.4439,-4.93
990.07,43295,2749.5,-1195.5,-1.3527,4.342,1.7191,-0.56483,-6.1807,1.661,0.77659,2.9129,-1.7906,1.9436,0.83918,-1.856,-3.6411,2.4511,-4.9302
1020.1,43289,2832.6,-1231.7,-1.358,4.3434,1.7173,-0.55916,-6.1833,1.6485,0.77359,2.9055,-1.8018,1.9414,0.83736,-1.8491,-3.6466,2.4583,-4.9303
